full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
shareAI-lab/learn-claude-code,61359,61359,10033,4465,4465,679,https://github.com/shareAI-lab/learn-claude-code
ChinaSiro/claude-code-sourcemap,9215,9215,14638,180,180,72,https://github.com/ChinaSiro/claude-code-sourcemap
pengchengneo/Claude-Code,1370,1370,2351,113,113,108,https://github.com/pengchengneo/Claude-Code
hesreallyhim/awesome-claude-code,44271,44271,3797,2831,2831,316,https://github.com/hesreallyhim/awesome-claude-code
shanraisshan/claude-code-best-practice,53846,53846,5389,5322,5322,600,https://github.com/shanraisshan/claude-code-best-practice
Alishahryar1/free-claude-code,26273,26273,3916,11017,11017,1810,https://github.com/Alishahryar1/free-claude-code
musistudio/claude-code-router,34149,34149,2783,1094,1094,133,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,27413,27413,2804,1772,1772,233,https://github.com/davila7/claude-code-templates
LING71671/Open-ClaudeCode,846,846,1191,62,62,59,https://github.com/LING71671/Open-ClaudeCode
Donchitos/Claude-Code-Game-Studios,19280,19280,2818,2942,2942,452,https://github.com/Donchitos/Claude-Code-Game-Studios
oboard/claude-code-rev,3142,3142,3794,75,75,23,https://github.com/oboard/claude-code-rev
VoltAgent/awesome-claude-code-subagents,20135,20135,2331,1615,1615,206,https://github.com/VoltAgent/awesome-claude-code-subagents
ponponon/claude_code_src,2240,2240,3501,41,41,13,https://github.com/ponponon/claude_code_src
anthropics/claude-code-action,7650,7650,1842,344,344,82,https://github.com/anthropics/claude-code-action
Piebald-AI/claude-code-system-prompts,10334,10334,1824,757,757,116,https://github.com/Piebald-AI/claude-code-system-prompts
liuup/claude-code-analysis,2604,2604,1657,567,567,193,https://github.com/liuup/claude-code-analysis
diet103/claude-code-infrastructure-showcase,9649,9649,1224,74,74,7,https://github.com/diet103/claude-code-infrastructure-showcase
frankbria/ralph-claude-code,9166,9166,698,293,293,36,https://github.com/frankbria/ralph-claude-code
ykdojo/claude-code-tips,8364,8364,629,401,401,49,https://github.com/ykdojo/claude-code-tips
hangsman/claude-code-source,780,780,1748,19,19,4,https://github.com/hangsman/claude-code-source
pedrohcgs/claude-code-my-workflow,1112,1112,2293,118,118,266,https://github.com/pedrohcgs/claude-code-my-workflow
chauncygu/collection-claude-code-source-code,2471,2471,2310,184,184,77,https://github.com/chauncygu/collection-claude-code-source-code
affaan-m/ECC,187140,187140,28976,187140,187140,28976,https://github.com/affaan-m/ECC
lintsinghua/claude-code-book,3331,3331,719,353,353,42,https://github.com/lintsinghua/claude-code-book
ChrisWiles/claude-code-showcase,5904,5904,555,56,56,13,https://github.com/ChrisWiles/claude-code-showcase
huangserva/claude-code-cli,587,587,1306,22,22,9,https://github.com/huangserva/claude-code-cli
OneRedOak/claude-code-workflows,3804,3804,560,18,18,6,https://github.com/OneRedOak/claude-code-workflows
wanshuiyin/Auto-claude-code-research-in-sleep,10060,10060,962,2453,2453,241,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep
1rgs/claude-code-proxy,3589,3589,467,98,98,10,https://github.com/1rgs/claude-code-proxy
nicedreamzapp/claude-code-local,2638,2638,511,354,354,64,https://github.com/nicedreamzapp/claude-code-local
lorryjovens-hub/claude-code-rust,1594,1594,629,115,115,29,https://github.com/lorryjovens-hub/claude-code-rust
zebbern/claude-code-guide,4143,4143,406,97,97,12,https://github.com/zebbern/claude-code-guide
disler/claude-code-hooks-mastery,3689,3689,614,107,107,12,https://github.com/disler/claude-code-hooks-mastery
FlorianBruniaux/claude-code-ultimate-guide,4417,4417,582,442,442,49,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
777genius/claude-code-source-code,913,913,1110,12,12,-5,https://github.com/777genius/claude-code-source-code
Maciek-roboblog/Claude-Code-Usage-Monitor,8011,8011,405,208,208,15,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
zstmfhy/Claude-code,190,190,285,0,0,0,https://github.com/zstmfhy/Claude-code
anthropics/claude-code-security-review,4652,4652,455,257,257,52,https://github.com/anthropics/claude-code-security-review
kodu-ai/claude-coder,5278,5278,201,0,0,2,https://github.com/kodu-ai/claude-coder
Yuyz0112/claude-code-reverse,2366,2366,406,9,9,3,https://github.com/Yuyz0112/claude-code-reverse
fuergaosi233/claude-code-proxy,2604,2604,382,95,95,25,https://github.com/fuergaosi233/claude-code-proxy
RichardAtCT/claude-code-telegram,2605,2605,383,105,105,30,https://github.com/RichardAtCT/claude-code-telegram
Windy3f3f3f3f/how-claude-code-works,2399,2399,573,372,372,47,https://github.com/Windy3f3f3f3f/how-claude-code-works
multica-ai/andrej-karpathy-skills,137817,137817,14131,137817,137817,14131,https://github.com/multica-ai/andrej-karpathy-skills
anthropics/skills,137596,137596,16233,12934,12934,1638,https://github.com/anthropics/skills
alejandrobalderas/claude-code-from-source,1942,1942,586,131,131,27,https://github.com/alejandrobalderas/claude-code-from-source
ding113/claude-code-hub,2877,2877,321,211,211,22,https://github.com/ding113/claude-code-hub
fazxes/Claude-code,216,216,212,5,5,3,https://github.com/fazxes/Claude-code
Cranot/claude-code-guide,2758,2758,307,127,127,18,https://github.com/Cranot/claude-code-guide
rohitg00/awesome-claude-code-toolkit,1736,1736,546,287,287,105,https://github.com/rohitg00/awesome-claude-code-toolkit
SeemSeam/claude_codex_bridge,2717,2717,267,2717,2717,267,https://github.com/SeemSeam/claude_codex_bridge
luyao618/Claude-Code-Source-Study,1392,1392,510,144,144,25,https://github.com/luyao618/Claude-Code-Source-Study
AprilNEA/claude-code-source,383,383,616,10,10,5,https://github.com/AprilNEA/claude-code-source
anthropics/claude-code-base-action,841,841,604,39,39,3,https://github.com/anthropics/claude-code-base-action
https-deeplearning-ai/sc-claude-code-files,514,514,738,17,17,47,https://github.com/https-deeplearning-ai/sc-claude-code-files
sickn33/antigravity-awesome-skills,38030,38030,6216,2704,2704,409,https://github.com/sickn33/antigravity-awesome-skills
repowise-dev/claude-code-prompts,1016,1016,365,44,44,4,https://github.com/repowise-dev/claude-code-prompts
guanshan/ClaudeCode,59,59,213,2,2,-2,https://github.com/guanshan/ClaudeCode
JrCx7scC/claude-code-source,368,368,543,7,7,7,https://github.com/JrCx7scC/claude-code-source
luongnv89/claude-howto,33525,33525,4106,4160,4160,496,https://github.com/luongnv89/claude-howto
edmund-io/edmunds-claude-code,1438,1438,285,30,30,2,https://github.com/edmund-io/edmunds-claude-code
Yeachan-Heo/oh-my-claudecode,34287,34287,3144,2742,2742,223,https://github.com/Yeachan-Heo/oh-my-claudecode
